edgeuser4,5.0,0.9738399822
edgeuser3,5.0,0.0
edgeuser2,5.0,0.35175999589999996
edgeuser1,5.0,0.30750999570000004
netcloudhost4,5.0,0.0
netcloudhost3,5.0,0.0
netcloudhost2,5.0,0.0
netcloudhost1,5.0,0.0
internethost,5.0,1.6256913421868943E-6
edgeuser4,10.0,0.9981599794
edgeuser3,10.0,0.0
edgeuser2,10.0,0.327409996
edgeuser1,10.0,0.17031999720000002
netcloudhost4,10.0,0.0
netcloudhost3,10.0,0.0
netcloudhost2,10.0,0.0
netcloudhost1,10.0,0.0
internethost,10.0,1.3373035862055224E-6
edgeuser4,15.0,1.0018399816
edgeuser3,15.0,0.0
edgeuser2,15.0,0.5428599941
edgeuser1,15.0,0.49770999455
netcloudhost4,15.0,0.0
netcloudhost3,15.0,0.0
netcloudhost2,15.0,0.0
netcloudhost1,15.0,0.0
internethost,15.0,4.682516076579574E-6
edgeuser4,20.0,0.8039999874
edgeuser3,20.0,0.0
edgeuser2,20.0,0.37239999705
edgeuser1,20.0,0.9534599933
netcloudhost4,20.0,0.0
netcloudhost3,20.0,0.0
netcloudhost2,20.0,0.0
netcloudhost1,20.0,0.0
internethost,20.0,1.588757687450576E-6
edgeuser4,25.0,0.8428999873999999
edgeuser3,25.0,0.0
edgeuser2,25.0,0.3298599974
edgeuser1,25.0,0.5500099967000001
netcloudhost4,25.0,0.0
netcloudhost3,25.0,0.0
netcloudhost2,25.0,0.0
netcloudhost1,25.0,0.0
internethost,25.0,1.0882303401598287E-6
edgeuser4,30.0,0.9225999888
edgeuser3,30.0,0.0
edgeuser2,30.0,0.2663299985
edgeuser1,30.0,0.12912999875
netcloudhost4,30.0,0.0
netcloudhost3,30.0,0.0
netcloudhost2,30.0,0.0
netcloudhost1,30.0,0.0
internethost,30.0,2.3692482560843224E-6
edgeuser4,35.0,0.7170999888
edgeuser3,35.0,0.0
edgeuser2,35.0,0.8699399935
edgeuser1,35.0,0.29108999739999997
netcloudhost4,35.0,0.0
netcloudhost3,35.0,0.0
netcloudhost2,35.0,0.0
netcloudhost1,35.0,0.0
internethost,35.0,1.4531714900108927E-6
edgeuser4,40.0,0.8062399848
edgeuser3,40.0,0.0
edgeuser2,40.0,0.9993199904
edgeuser1,40.0,0.32711999579999995
netcloudhost4,40.0,0.0
netcloudhost3,40.0,0.0
netcloudhost2,40.0,0.0
netcloudhost1,40.0,0.0
internethost,40.0,1.5269167081096884E-6
edgeuser4,45.0,0.8964999868
edgeuser3,45.0,0.0
edgeuser2,45.0,0.5160999956
edgeuser1,45.0,0.27517999699999995
netcloudhost4,45.0,0.0
netcloudhost3,45.0,0.0
netcloudhost2,45.0,0.0
netcloudhost1,45.0,0.0
internethost,45.0,1.2440232138224522E-6
edgeuser4,50.0,0.8876599882
edgeuser3,50.0,0.0
edgeuser2,50.0,0.4568699953
edgeuser1,50.0,0.1960399978
netcloudhost4,50.0,0.0
netcloudhost3,50.0,0.0
netcloudhost2,50.0,0.0
netcloudhost1,50.0,0.0
internethost,50.0,6.328169906442226E-7
edgeuser4,55.0,0.8100399878
edgeuser3,55.0,0.0
edgeuser2,55.0,0.45711999565
edgeuser1,55.0,0.14465999845000002
netcloudhost4,55.0,0.0
netcloudhost3,55.0,0.0
netcloudhost2,55.0,0.0
netcloudhost1,55.0,0.0
internethost,55.0,4.335583902974443E-6
edgeuser4,60.0,0.8521999874
edgeuser3,60.0,0.0
edgeuser2,60.0,0.36237999595000003
edgeuser1,60.0,0.45362999514999996
netcloudhost4,60.0,0.0
netcloudhost3,60.0,0.0
netcloudhost2,60.0,0.0
netcloudhost1,60.0,0.0
internethost,60.0,9.934237778341801E-7
edgeuser4,65.0,0.8872999854
edgeuser3,65.0,0.0
edgeuser2,65.0,0.23555999685
edgeuser1,65.0,0.40323999525
netcloudhost4,65.0,0.0
netcloudhost3,65.0,0.0
netcloudhost2,65.0,0.0
netcloudhost1,65.0,0.0
internethost,65.0,3.330561123821444E-6
edgeuser4,70.0,0.8414399894
edgeuser3,70.0,0.0
edgeuser2,70.0,0.2892299973
edgeuser1,70.0,0.25396999789999997
netcloudhost4,70.0,0.0
netcloudhost3,70.0,0.0
netcloudhost2,70.0,0.0
netcloudhost1,70.0,0.0
internethost,70.0,1.457017473746214E-6
edgeuser4,75.0,0.882099991
edgeuser3,75.0,0.0
edgeuser2,75.0,0.6045899959
edgeuser1,75.0,0.64471999585
netcloudhost4,75.0,0.0
netcloudhost3,75.0,0.0
netcloudhost2,75.0,0.0
netcloudhost1,75.0,0.0
internethost,75.0,2.1323844819623104E-6
edgeuser4,80.0,0.9446399867999999
edgeuser3,80.0,0.0
edgeuser2,80.0,0.8333699946500001
edgeuser1,80.0,0.52946999605
netcloudhost4,80.0,0.0
netcloudhost3,80.0,0.0
netcloudhost2,80.0,0.0
netcloudhost1,80.0,0.0
internethost,80.0,1.7340504197030813E-6
edgeuser4,85.0,0.8337199891999999
edgeuser3,85.0,0.0
edgeuser2,85.0,0.7426999952500001
edgeuser1,85.0,0.22814999845
netcloudhost4,85.0,0.0
netcloudhost3,85.0,0.0
netcloudhost2,85.0,0.0
netcloudhost1,85.0,0.0
internethost,85.0,1.742169718733786E-6
edgeuser4,90.0,0.913679988
edgeuser3,90.0,0.0
edgeuser2,90.0,0.41278999695
edgeuser1,90.0,0.7139299952999999
netcloudhost4,90.0,0.0
netcloudhost3,90.0,0.0
netcloudhost2,90.0,0.0
netcloudhost1,90.0,0.0
internethost,90.0,2.6461591079202168E-6
edgeuser4,95.0,0.8883599872
edgeuser3,95.0,0.0
edgeuser2,95.0,0.6206199958999999
edgeuser1,95.0,0.1818599984
netcloudhost4,95.0,0.0
netcloudhost3,95.0,0.0
netcloudhost2,95.0,0.0
netcloudhost1,95.0,0.0
internethost,95.0,2.622411684180098E-6
edgeuser4,100.0,0.8640599884
edgeuser3,100.0,0.0
edgeuser2,100.0,0.77247999395
edgeuser1,100.0,0.2179399981
netcloudhost4,100.0,0.0
netcloudhost3,100.0,0.0
netcloudhost2,100.0,0.0
netcloudhost1,100.0,0.0
internethost,100.0,8.964195133948665E-7
edgeuser4,105.0,0.8018199868
edgeuser3,105.0,0.0
edgeuser2,105.0,0.3906599965
edgeuser1,105.0,0.5258399965
netcloudhost4,105.0,0.0
netcloudhost3,105.0,0.0
netcloudhost2,105.0,0.0
netcloudhost1,105.0,0.0
internethost,105.0,2.3069188978176495E-6
edgeuser4,110.0,0.825679989
edgeuser3,110.0,0.0
edgeuser2,110.0,0.48404999634999996
edgeuser1,110.0,0.73150999465
netcloudhost4,110.0,0.0
netcloudhost3,110.0,0.0
netcloudhost2,110.0,0.0
netcloudhost1,110.0,0.0
internethost,110.0,8.49779327813805E-7
edgeuser4,115.0,0.896979985
edgeuser3,115.0,0.0
edgeuser2,115.0,0.45284999680000004
edgeuser1,115.0,0.6863399948
netcloudhost4,115.0,0.0
netcloudhost3,115.0,0.0
netcloudhost2,115.0,0.0
netcloudhost1,115.0,0.0
internethost,115.0,1.5186753140423006E-6
edgeuser4,120.0,0.8407599866
edgeuser3,120.0,0.0
edgeuser2,120.0,0.221459998
edgeuser1,120.0,0.3050699967
netcloudhost4,120.0,0.0
netcloudhost3,120.0,0.0
netcloudhost2,120.0,0.0
netcloudhost1,120.0,0.0
internethost,120.0,1.5938246212474915E-6
edgeuser4,125.0,0.7810599878
edgeuser3,125.0,0.0
edgeuser2,125.0,0.34376999739999997
edgeuser1,125.0,0.25675999785000003
netcloudhost4,125.0,0.0
netcloudhost3,125.0,0.0
netcloudhost2,125.0,0.0
netcloudhost1,125.0,0.0
internethost,125.0,5.916100200020473E-7
edgeuser4,130.0,0.6311599910000001
edgeuser3,130.0,0.0
edgeuser2,130.0,0.52459999635
edgeuser1,130.0,0.6631799953499999
netcloudhost4,130.0,0.0
netcloudhost3,130.0,0.0
netcloudhost2,130.0,0.0
netcloudhost1,130.0,0.0
internethost,130.0,5.7006029868083E-7
edgeuser4,135.0,0.84385999
edgeuser3,135.0,0.0
edgeuser2,135.0,0.999999994
edgeuser1,135.0,0.7949399949
netcloudhost4,135.0,0.0
netcloudhost3,135.0,0.0
netcloudhost2,135.0,0.0
netcloudhost1,135.0,0.0
internethost,135.0,1.0235811780275975E-6
edgeuser4,140.0,0.9879999848
edgeuser3,140.0,0.0
edgeuser2,140.0,0.9761099921999999
edgeuser1,140.0,0.3859199964
netcloudhost4,140.0,0.0
netcloudhost3,140.0,0.0
netcloudhost2,140.0,0.0
netcloudhost1,140.0,0.0
internethost,140.0,6.684686513108285E-7
edgeuser4,145.0,0.8191799864
edgeuser3,145.0,0.0
edgeuser2,145.0,0.7785999935
edgeuser1,145.0,0.7739899934000001
netcloudhost4,145.0,0.0
netcloudhost3,145.0,0.0
netcloudhost2,145.0,0.0
netcloudhost1,145.0,0.0
internethost,145.0,1.8889886305508171E-6
edgeuser4,150.0,0.8423999884000001
edgeuser3,150.0,0.0
edgeuser2,150.0,0.2928999976
edgeuser1,150.0,0.3272499972
netcloudhost4,150.0,0.0
netcloudhost3,150.0,0.0
netcloudhost2,150.0,0.0
netcloudhost1,150.0,0.0
internethost,150.0,1.6294152336326638E-6
edgeuser4,155.0,0.7822199884000001
edgeuser3,155.0,0.0
edgeuser2,155.0,0.2755799976
edgeuser1,155.0,0.3853199962
netcloudhost4,155.0,0.0
netcloudhost3,155.0,0.0
netcloudhost2,155.0,0.0
netcloudhost1,155.0,0.0
internethost,155.0,6.357472626727494E-7
edgeuser4,160.0,0.9267599858000001
edgeuser3,160.0,0.0
edgeuser2,160.0,0.31981999699999997
edgeuser1,160.0,0.31843999645
netcloudhost4,160.0,0.0
netcloudhost3,160.0,0.0
netcloudhost2,160.0,0.0
netcloudhost1,160.0,0.0
internethost,160.0,8.306104540610271E-7
edgeuser4,165.0,0.8756999862
edgeuser3,165.0,0.0
edgeuser2,165.0,0.48853999535
edgeuser1,165.0,0.3635699964
netcloudhost4,165.0,0.0
netcloudhost3,165.0,0.0
netcloudhost2,165.0,0.0
netcloudhost1,165.0,0.0
internethost,165.0,1.190362578741334E-6
edgeuser4,170.0,0.7821199906
edgeuser3,170.0,0.0
edgeuser2,170.0,0.96736999405
edgeuser1,170.0,0.29898999735000004
netcloudhost4,170.0,0.0
netcloudhost3,170.0,0.0
netcloudhost2,170.0,0.0
netcloudhost1,170.0,0.0
internethost,170.0,3.3133457663822803E-6
edgeuser4,175.0,0.8580199869999999
edgeuser3,175.0,0.0
edgeuser2,175.0,0.4035899955
edgeuser1,175.0,0.44281999585
netcloudhost4,175.0,0.0
netcloudhost3,175.0,0.0
netcloudhost2,175.0,0.0
netcloudhost1,175.0,0.0
internethost,175.0,6.250029266107127E-7
edgeuser4,180.0,0.9339599852
edgeuser3,180.0,0.0
edgeuser2,180.0,0.25765999705
edgeuser1,180.0,0.37387999595
netcloudhost4,180.0,0.0
netcloudhost3,180.0,0.0
netcloudhost2,180.0,0.0
netcloudhost1,180.0,0.0
internethost,180.0,6.281163410416458E-7
edgeuser4,185.0,0.8488999886
edgeuser3,185.0,0.0
edgeuser2,185.0,0.18618999735
edgeuser1,185.0,0.1301699982
netcloudhost4,185.0,0.0
netcloudhost3,185.0,0.0
netcloudhost2,185.0,0.0
netcloudhost1,185.0,0.0
internethost,185.0,1.106422451482484E-6
edgeuser4,190.0,0.7062599896
edgeuser3,190.0,0.0
edgeuser2,190.0,0.16338999785000002
edgeuser1,190.0,0.31418999765
netcloudhost4,190.0,0.0
netcloudhost3,190.0,0.0
netcloudhost2,190.0,0.0
netcloudhost1,190.0,0.0
internethost,190.0,1.1798624336683743E-6
edgeuser4,195.0,0.8315599886
edgeuser3,195.0,0.0
edgeuser2,195.0,0.38907999655
edgeuser1,195.0,0.999999993
netcloudhost4,195.0,0.0
netcloudhost3,195.0,0.0
netcloudhost2,195.0,0.0
netcloudhost1,195.0,0.0
internethost,195.0,1.8204934874303962E-6
edgeuser4,200.0,0.8225599908
edgeuser3,200.0,0.0
edgeuser2,200.0,0.72770999505
edgeuser1,200.0,0.9999999939
netcloudhost4,200.0,0.0
netcloudhost3,200.0,0.0
netcloudhost2,200.0,0.0
netcloudhost1,200.0,0.0
internethost,200.0,4.126801892360894E-7
edgeuser4,205.0,0.950259984
edgeuser3,205.0,0.0
edgeuser2,205.0,0.41641999534999996
edgeuser1,205.0,0.9981799911
netcloudhost4,205.0,0.0
netcloudhost3,205.0,0.0
netcloudhost2,205.0,0.0
netcloudhost1,205.0,0.0
internethost,205.0,3.237585985519858E-6
edgeuser4,210.0,0.859059983
edgeuser3,210.0,0.0
edgeuser2,210.0,0.3523099967
edgeuser1,210.0,0.84651999165
netcloudhost4,210.0,0.0
netcloudhost3,210.0,0.0
netcloudhost2,210.0,0.0
netcloudhost1,210.0,0.0
internethost,210.0,1.4731339779918875E-6
edgeuser4,215.0,0.8279199866
edgeuser3,215.0,0.0
edgeuser2,215.0,0.8460599921999999
edgeuser1,215.0,0.5717499940499999
netcloudhost4,215.0,0.0
netcloudhost3,215.0,0.0
netcloudhost2,215.0,0.0
netcloudhost1,215.0,0.0
internethost,215.0,1.891003195451102E-6
edgeuser4,220.0,0.7731799882
edgeuser3,220.0,0.0
edgeuser2,220.0,0.32623999634999995
edgeuser1,220.0,0.43361999625000003
netcloudhost4,220.0,0.0
netcloudhost3,220.0,0.0
netcloudhost2,220.0,0.0
netcloudhost1,220.0,0.0
internethost,220.0,3.4903831282003473E-6
edgeuser4,225.0,0.8593799884000001
edgeuser3,225.0,0.0
edgeuser2,225.0,0.24614999755
edgeuser1,225.0,0.73876999425
netcloudhost4,225.0,0.0
netcloudhost3,225.0,0.0
netcloudhost2,225.0,0.0
netcloudhost1,225.0,0.0
internethost,225.0,6.71093687731687E-7
edgeuser4,230.0,0.974419983
edgeuser3,230.0,0.0
edgeuser2,230.0,0.2708899964
edgeuser1,230.0,0.51677999485
netcloudhost4,230.0,0.0
netcloudhost3,230.0,0.0
netcloudhost2,230.0,0.0
netcloudhost1,230.0,0.0
internethost,230.0,1.0265724974218477E-6
edgeuser4,235.0,0.8274399892
edgeuser3,235.0,0.0
edgeuser2,235.0,0.39314999645
edgeuser1,235.0,0.44223999570000005
netcloudhost4,235.0,0.0
netcloudhost3,235.0,0.0
netcloudhost2,235.0,0.0
netcloudhost1,235.0,0.0
internethost,235.0,4.3282581961949027E-7
edgeuser4,240.0,0.834139986
edgeuser3,240.0,0.0
edgeuser2,240.0,0.9162499923499999
edgeuser1,240.0,0.3506399965
netcloudhost4,240.0,0.0
netcloudhost3,240.0,0.0
netcloudhost2,240.0,0.0
netcloudhost1,240.0,0.0
internethost,240.0,1.515989228729535E-6
edgeuser4,245.0,0.847139989
edgeuser3,245.0,0.0
edgeuser2,245.0,0.5637399957
edgeuser1,245.0,0.6945499947499999
netcloudhost4,245.0,0.0
netcloudhost3,245.0,0.0
netcloudhost2,245.0,0.0
netcloudhost1,245.0,0.0
internethost,245.0,6.556487042037313E-7
edgeuser4,250.0,0.8281999886
edgeuser3,250.0,0.0
edgeuser2,250.0,0.37508999634999995
edgeuser1,250.0,0.28631999674999997
netcloudhost4,250.0,0.0
netcloudhost3,250.0,0.0
netcloudhost2,250.0,0.0
netcloudhost1,250.0,0.0
internethost,250.0,2.279935959420888E-6
edgeuser4,255.0,0.7289799896
edgeuser3,255.0,0.0
edgeuser2,255.0,0.59769999425
edgeuser1,255.0,0.83552999445
netcloudhost4,255.0,0.0
netcloudhost3,255.0,0.0
netcloudhost2,255.0,0.0
netcloudhost1,255.0,0.0
internethost,255.0,6.033921603656669E-7
edgeuser4,260.0,0.8136999866
edgeuser3,260.0,0.0
edgeuser2,260.0,0.35851999695
edgeuser1,260.0,0.89274999245
netcloudhost4,260.0,0.0
netcloudhost3,260.0,0.0
netcloudhost2,260.0,0.0
netcloudhost1,260.0,0.0
internethost,260.0,7.728596470026427E-7
edgeuser4,265.0,0.9665799869999999
edgeuser3,265.0,0.0
edgeuser2,265.0,0.3967999964
edgeuser1,265.0,0.25839999674999997
netcloudhost4,265.0,0.0
netcloudhost3,265.0,0.0
netcloudhost2,265.0,0.0
netcloudhost1,265.0,0.0
internethost,265.0,8.481920947788191E-7
edgeuser4,270.0,0.8722599852
edgeuser3,270.0,0.0
edgeuser2,270.0,0.27449999675
edgeuser1,270.0,0.35356999505000003
netcloudhost4,270.0,0.0
netcloudhost3,270.0,0.0
netcloudhost2,270.0,0.0
netcloudhost1,270.0,0.0
internethost,270.0,3.0755052307458563E-6
edgeuser4,275.0,0.8470199838000001
edgeuser3,275.0,0.0
edgeuser2,275.0,0.18164999705
edgeuser1,275.0,0.59944999445
netcloudhost4,275.0,0.0
netcloudhost3,275.0,0.0
netcloudhost2,275.0,0.0
netcloudhost1,275.0,0.0
internethost,275.0,4.917243203279328E-6
edgeuser4,280.0,0.8232199858
edgeuser3,280.0,0.0
edgeuser2,280.0,0.38496999579999996
edgeuser1,280.0,0.2246999967
netcloudhost4,280.0,0.0
netcloudhost3,280.0,0.0
netcloudhost2,280.0,0.0
netcloudhost1,280.0,0.0
internethost,280.0,3.4028412033114632E-6
edgeuser4,285.0,0.6736399914000001
edgeuser3,285.0,0.0
edgeuser2,285.0,0.33558999665
edgeuser1,285.0,0.86105999445
netcloudhost4,285.0,0.0
netcloudhost3,285.0,0.0
netcloudhost2,285.0,0.0
netcloudhost1,285.0,0.0
internethost,285.0,8.552125436684016E-7
edgeuser4,290.0,0.8771999856
edgeuser3,290.0,0.0
edgeuser2,290.0,0.37728999550000003
edgeuser1,290.0,0.4494199955
netcloudhost4,290.0,0.0
netcloudhost3,290.0,0.0
netcloudhost2,290.0,0.0
netcloudhost1,290.0,0.0
internethost,290.0,1.1761385428330784E-6
edgeuser4,295.0,0.956139988
edgeuser3,295.0,0.0
edgeuser2,295.0,0.13573999775
edgeuser1,295.0,0.442259996
netcloudhost4,295.0,0.0
netcloudhost3,295.0,0.0
netcloudhost2,295.0,0.0
netcloudhost1,295.0,0.0
internethost,295.0,1.5443762544012709E-6
edgeuser4,300.0,0.815179984
edgeuser3,300.0,0.0
edgeuser2,300.0,0.67404999255
edgeuser1,300.0,0.25829999635
netcloudhost4,300.0,0.0
netcloudhost3,300.0,0.0
netcloudhost2,300.0,0.0
netcloudhost1,300.0,0.0
internethost,300.0,3.97204684070359E-6
edgeuser4,305.0,0.8197599891999999
edgeuser3,305.0,0.0
edgeuser2,305.0,0.8749099941
edgeuser1,305.0,0.7183199948
netcloudhost4,305.0,0.0
netcloudhost3,305.0,0.0
netcloudhost2,305.0,0.0
netcloudhost1,305.0,0.0
internethost,305.0,1.0269387828371338E-6
edgeuser4,310.0,0.8634199866
edgeuser3,310.0,0.0
edgeuser2,310.0,0.4859999955
edgeuser1,310.0,0.3009599968
netcloudhost4,310.0,0.0
netcloudhost3,310.0,0.0
netcloudhost2,310.0,0.0
netcloudhost1,310.0,0.0
